event_key,county_fips5,county_name_x,state_name,planned_shelter,actual_shelter,shelter_pop,event,state_abbr,county_name_y,n_buildings,n_damaged,n_displaced_bldgs,n_severe,n_residential,n_res_displaced,avg_damage_pct,max_damage_pct,total_bldg_loss_usd,centroid_lat,centroid_lon,total_population,pct_elderly,median_household_income,total_housing_units
IDA_2021,22087,St. Bernard,LA,45.0,,45.0,IDA_2021,LA,St. Bernard,15590,15590,15486,10201,14664,14603,74.4295,100.0,2386552566.14,29.92849,-89.934226,44038,0.1228,55857,17778
IDA_2021,22089,St. Charles,LA,134.0,,134.0,IDA_2021,LA,St. Charles,17209,17208,16745,12661,16214,16012,74.5502,100.0,3250154087.29,29.934623,-90.371445,52191,0.144,79191,20531
IDA_2021,22093,St. James,LA,13.0,38.0,38.0,IDA_2021,LA,St. James,1474,1470,1199,477,1396,1162,42.8358,100.0,175860169.4,29.954675,-90.700369,20090,0.1843,62946,8604
IDA_2021,22095,St. John the Baptist,LA,28.0,,28.0,IDA_2021,LA,St. John the Baptist,6560,6535,3504,529,6336,3463,23.1357,100.0,387119514.59,30.076748,-90.492687,41986,0.1473,65114,17799
IDA_2021,22101,St. Mary,LA,,58.0,58.0,IDA_2021,LA,St. Mary,13934,13914,13580,9086,12054,11875,75.0582,100.0,3040993436.17,29.701601,-91.252575,49114,0.1758,47322,22516
IDA_2021,22103,St. Tammany,LA,52.0,93.0,93.0,IDA_2021,LA,St. Tammany,6657,6274,5836,4376,6471,5705,71.2421,100.0,884134338.79,30.388666,-90.004345,266168,0.1775,76914,110680
IDA_2021,22105,Tangipahoa,LA,81.0,311.0,311.0,IDA_2021,LA,Tangipahoa,4047,3983,3832,2638,3900,3698,73.0269,100.0,592398413.04,30.516114,-90.430261,133953,0.1487,55274,57354
IDA_2021,22109,Terrebonne,LA,509.0,,509.0,IDA_2021,LA,Terrebonne,25512,25420,17209,5924,22658,16778,34.9706,100.0,1905492251.44,29.570195,-90.712807,108862,0.1507,63088,47314
IDA_2021,22117,Washington,LA,,22.0,22.0,IDA_2021,LA,Washington,1,1,1,1,1,1,100.0,100.0,90543.0,30.861747,-90.311969,45514,0.185,41803,21420
MILTON_2024,12015,Charlotte,FL,49.0,,49.0,MILTON_2024,FL,Charlotte,28546,24466,19304,6503,27343,19074,32.6282,100.0,1949634145.43,26.925717,-82.148172,189900,0.4034,62164,111330
