event,county_fips5,state_abbr,county_name,n_buildings,n_damaged,n_displaced_bldgs,n_severe,n_residential,n_res_displaced,avg_damage_pct,max_damage_pct,total_bldg_loss_usd,centroid_lat,centroid_lon
DEBBY_2024,37041,NC,Chowan,465,449,440,376,441,419,81.8247,100.0,5.421373834E7,36.123498,-76.626048
DEBBY_2024,37047,NC,Columbus,695,693,693,614,643,641,84.2187,100.0,8.410678156E7,34.237319,-78.677915
DEBBY_2024,37049,NC,Craven,2405,2247,1897,1621,2278,1798,66.2073,100.0,2.3724356262E8,35.113609,-77.060115
DEBBY_2024,37053,NC,Currituck,1114,1089,1077,778,1039,1005,77.3339,100.0,1.7707018251E8,36.36778,-75.970647
DEBBY_2024,37055,NC,Dare,2089,1938,1838,1148,1960,1744,63.5795,100.0,2.6881874442E8,35.811952,-75.682753
DEBBY_2024,37073,NC,Gates,260,253,248,207,220,211,77.7692,100.0,3.100126333E7,36.443041,-76.719677
DEBBY_2024,37079,NC,Greene,242,236,236,205,223,218,81.9669,100.0,3.300347254E7,35.480607,-77.664445
DEBBY_2024,37091,NC,Hertford,250,241,224,188,244,219,73.274,100.0,2.668307594E7,36.375371,-76.955027
DEBBY_2024,37095,NC,Hyde,1830,1563,1051,701,1581,981,41.5038,100.0,1.0534072068E8,35.461134,-76.210013
DEBBY_2024,37103,NC,Jones,210,209,209,190,203,202,86.3119,100.0,2.231327532E7,35.053399,-77.370959
DEBBY_2024,37107,NC,Lenoir,540,533,533,454,479,473,80.6815,100.0,7.431300043E7,35.248703,-77.621976
DEBBY_2024,37117,NC,Martin,1165,1154,1153,986,1154,1142,80.7378,100.0,1.4359563522E8,35.825556,-77.049431
DEBBY_2024,37129,NC,New Hanover,2464,2017,1780,1577,2272,1667,44.2829,100.0,3.2936071621E8,34.18801,-77.86669
DEBBY_2024,37131,NC,Northampton,128,127,127,116,122,122,88.3828,100.0,1.102960735E7,36.439028,-77.435895
DEBBY_2024,37133,NC,Onslow,3152,2886,2613,2029,2968,2461,64.0857,100.0,3.525151986E8,34.649744,-77.442226
DEBBY_2024,37137,NC,Pamlico,1315,1130,869,732,1224,836,56.0437,100.0,1.0369107539E8,35.146969,-76.705108
DEBBY_2024,37139,NC,Pasquotank,778,753,549,435,701,510,56.9081,100.0,8.686569041E7,36.26997,-76.232413
DEBBY_2024,37141,NC,Pender,2329,2015,1987,1683,2244,1909,71.5416,100.0,2.6493716592E8,34.435987,-77.752852
DEBBY_2024,37143,NC,Perquimans,728,714,698,593,708,679,83.6401,100.0,9.981019345E7,36.147648,-76.402939
DEBBY_2024,37147,NC,Pitt,1801,1780,1769,1468,1707,1681,78.5952,100.0,2.6915139827E8,35.567093,-77.357499
DEBBY_2024,37163,NC,Sampson,1,0,0,0,1,0,0.0,0.0,0.0,34.610205,-78.304165
DEBBY_2024,37177,NC,Tyrrell,662,602,530,428,609,494,64.713,100.0,6.151346016E7,35.855143,-76.211254
DEBBY_2024,37187,NC,Washington,477,467,465,410,445,436,86.8103,100.0,9.818299264E7,35.869241,-76.604299
DEBBY_2024,45009,SC,Bamberg,1,1,1,0,1,1,43.5,43.5,80123.09,33.176125,-80.799526
DEBBY_2024,45013,SC,Beaufort,4305,4248,4168,3136,4169,4043,75.5369,100.0,8.8467440896E8,32.334603,-80.767629
DEBBY_2024,45015,SC,Berkeley,4390,4338,4281,3355,4249,4141,76.3549,100.0,7.6685728532E8,33.130601,-80.019406
DEBBY_2024,45019,SC,Charleston,7625,7525,6350,4246,7266,6105,58.0999,100.0,1.36900187148E9,32.773936,-80.009123
DEBBY_2024,45027,SC,Clarendon,1,1,1,1,1,1,100.0,100.0,76319.0,33.868363,-79.88575
DEBBY_2024,45029,SC,Colleton,2461,2390,2350,1990,2257,2153,78.1195,100.0,3.273720505E8,32.858117,-80.604335
DEBBY_2024,45035,SC,Dorchester,2990,2979,2979,2307,2743,2733,76.5687,100.0,5.6025463121E8,33.022819,-80.2723
DEBBY_2024,45043,SC,Georgetown,3213,2623,2069,1324,3026,1968,45.9236,100.0,3.4806871254E8,33.456505,-79.18977
DEBBY_2024,45049,SC,Hampton,540,538,538,472,508,507,83.7639,100.0,7.77094629E7,32.803051,-81.098063
DEBBY_2024,45051,SC,Horry,7771,6887,6547,5235,7368,6212,66.5161,100.0,9.4435384434E8,33.831359,-78.919068
DEBBY_2024,45053,SC,Jasper,717,714,713,599,671,667,80.8326,100.0,9.077657571E7,32.42942,-80.99944
DEBBY_2024,45067,SC,Marion,245,244,244,191,243,242,77.3551,100.0,2.952054195E7,34.000818,-79.306088
DEBBY_2024,45089,SC,Williamsburg,2890,2878,2878,2472,2807,2795,82.4493,100.0,3.045156424E8,33.661987,-79.710287
DEBBY_2024,51093,VA,Isle of Wight,2,2,2,2,2,2,100.0,100.0,287334.0,36.666286,-76.87468
DEBBY_2024,51175,VA,Southampton,155,153,153,128,144,142,81.0903,100.0,2.000755568E7,36.605546,-77.044828
DEBBY_2024,51550,VA,Chesapeake,408,401,401,291,333,327,71.4314,100.0,1.0308468367E8,36.630296,-76.249576
DEBBY_2024,51620,VA,Franklin,5,5,5,5,5,5,91.6,100.0,449743.06,36.666945,-76.923792
DEBBY_2024,51800,VA,Suffolk,57,56,56,49,55,54,82.4912,100.0,1.008956734E7,36.618754,-76.742677
DEBBY_2024,51810,VA,Virginia Beach,66,66,66,60,45,45,84.8485,100.0,1.347472581E7,36.577727,-76.023316
FLORENCE_2018,37013,NC,Beaufort,4334,3217,2154,834,3907,2131,27.8887,100.0,1.4717892367E8,35.490469,-76.808691
FLORENCE_2018,37015,NC,Bertie,14,9,5,4,10,4,27.8214,100.0,1766809.87,35.996784,-76.810766
FLORENCE_2018,37019,NC,Brunswick,2471,668,582,305,2439,569,15.2693,100.0,7.758374365E7,33.904099,-78.301937
FLORENCE_2018,37029,NC,Camden,36,27,12,9,32,12,28.3056,100.0,1126206.7,36.265428,-76.098764
FLORENCE_2018,37031,NC,Carteret,3289,3061,1700,920,3144,1678,34.2788,100.0,1.5787824844E8,34.7573,-76.711257
FLORENCE_2018,37041,NC,Chowan,53,44,35,8,48,35,27.7453,100.0,1824799.99,36.14702,-76.657882
FLORENCE_2018,37049,NC,Craven,3179,2881,1903,305,3001,1895,22.16,100.0,9.628852187E7,35.09481,-77.043866
FLORENCE_2018,37053,NC,Currituck,191,177,149,95,183,141,56.6911,100.0,2.301741729E7,36.391566,-75.920483
